ccode,country,polity_1946,polity_1947,polity_1948,polity_1949,polity_1950,polity_1951,polity_1952,polity_1953,polity_1954,polity_1955,polity_1956,polity_1957,polity_1958,polity_1959,polity_1960,polity_1961,polity_1962,polity_1963,polity_1964,polity_1965,polity_1966,polity_1967,polity_1968,polity_1969,polity_1970,polity_1971,polity_1972,polity_1973,polity_1974,polity_1975,polity_1976,polity_1977,polity_1978,polity_1979,polity_1980,polity_1981,polity_1982,polity_1983,polity_1984,polity_1985,polity_1986,polity_1987,polity_1988,polity_1989,polity_1990,polity_1991,polity_1992,polity_1993,polity_1994,polity_1995,polity_1996,polity_1997,polity_1998,polity_1999,polity_2000,polity_2001,polity_2002,polity_2003,polity_2004,polity_2005,polity_2006,polity_2007,polity_2008,polity_2009,polity_2010,polity_2011,polity_2012,polity_2013,polity_2014,polity_2015,polity_2016,FEATUREID_1946,FEATUREID_1947,FEATUREID_1948,FEATUREID_1949,FEATUREID_1950,FEATUREID_1951,FEATUREID_1952,FEATUREID_1953,FEATUREID_1954,FEATUREID_1955,FEATUREID_1956,FEATUREID_1957,FEATUREID_1958,FEATUREID_1959,FEATUREID_1960,FEATUREID_1961,FEATUREID_1962,FEATUREID_1963,FEATUREID_1964,FEATUREID_1965,FEATUREID_1966,FEATUREID_1967,FEATUREID_1968,FEATUREID_1969,FEATUREID_1970,FEATUREID_1971,FEATUREID_1972,FEATUREID_1973,FEATUREID_1974,FEATUREID_1975,FEATUREID_1976,FEATUREID_1977,FEATUREID_1978,FEATUREID_1979,FEATUREID_1980,FEATUREID_1981,FEATUREID_1982,FEATUREID_1983,FEATUREID_1984,FEATUREID_1985,FEATUREID_1986,FEATUREID_1987,FEATUREID_1988,FEATUREID_1989,FEATUREID_1990,FEATUREID_1991,FEATUREID_1992,FEATUREID_1993,FEATUREID_1994,FEATUREID_1995,FEATUREID_1996,FEATUREID_1997,FEATUREID_1998,FEATUREID_1999,FEATUREID_2000,FEATUREID_2001,FEATUREID_2002,FEATUREID_2003,FEATUREID_2004,FEATUREID_2005,FEATUREID_2006,FEATUREID_2007,FEATUREID_2008,FEATUREID_2009,FEATUREID_2010,FEATUREID_2011,FEATUREID_2012,FEATUREID_2013,FEATUREID_2014,FEATUREID_2015,FEATUREID_2016,GDPpc_1946,GDPpc_1947,GDPpc_1948,GDPpc_1949,GDPpc_1950,GDPpc_1951,GDPpc_1952,GDPpc_1953,GDPpc_1954,GDPpc_1955,GDPpc_1956,GDPpc_1957,GDPpc_1958,GDPpc_1959,GDPpc_1960,GDPpc_1961,GDPpc_1962,GDPpc_1963,GDPpc_1964,GDPpc_1965,GDPpc_1966,GDPpc_1967,GDPpc_1968,GDPpc_1969,GDPpc_1970,GDPpc_1971,GDPpc_1972,GDPpc_1973,GDPpc_1974,GDPpc_1975,GDPpc_1976,GDPpc_1977,GDPpc_1978,GDPpc_1979,GDPpc_1980,GDPpc_1981,GDPpc_1982,GDPpc_1983,GDPpc_1984,GDPpc_1985,GDPpc_1986,GDPpc_1987,GDPpc_1988,GDPpc_1989,GDPpc_1990,GDPpc_1991,GDPpc_1992,GDPpc_1993,GDPpc_1994,GDPpc_1995,GDPpc_1996,GDPpc_1997,GDPpc_1998,GDPpc_1999,GDPpc_2000,GDPpc_2001,GDPpc_2002,GDPpc_2003,GDPpc_2004,GDPpc_2005,GDPpc_2006,GDPpc_2007,GDPpc_2008,GDPpc_2009,GDPpc_2010,GDPpc_2011,GDPpc_2012,GDPpc_2013,GDPpc_2014,GDPpc_2015,GDPpc_2016,pop_1946,pop_1947,pop_1948,pop_1949,pop_1950,pop_1951,pop_1952,pop_1953,pop_1954,pop_1955,pop_1956,pop_1957,pop_1958,pop_1959,pop_1960,pop_1961,pop_1962,pop_1963,pop_1964,pop_1965,pop_1966,pop_1967,pop_1968,pop_1969,pop_1970,pop_1971,pop_1972,pop_1973,pop_1974,pop_1975,pop_1976,pop_1977,pop_1978,pop_1979,pop_1980,pop_1981,pop_1982,pop_1983,pop_1984,pop_1985,pop_1986,pop_1987,pop_1988,pop_1989,pop_1990,pop_1991,pop_1992,pop_1993,pop_1994,pop_1995,pop_1996,pop_1997,pop_1998,pop_1999,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016
2,United States,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,14471,14057,14559,14112,15241,16126,16443,16917,16513,17370,17398,17407,16945,17901,18058,18175,18977,19515,20360,21390,22529,22842,23692,24196,23958,24395,25415,26603,26287,25956,27059,28001,29287,29951,29613,30056,29211,30159,32076,33024,33851,34730,35865,36757,36982,36464,37241,37762,38808,39391,40414,41723,43073,44576,45887,45878,46267,47158,48493,49655,50490,50902,50276,48453,49267,49675,50394,50863,51664,52591,53015,141940,144688,147203,149770,152271,154878,157553,160184,163026,165931,168903,171984,174882,177830,180671,183691,186538,189242,191889,194303,196560,198712,200706,202677,205052,207661,209896,211909,213854,215973,218035,220239,222585,225055,227726,229966,232188,234307,236348,238466,240651,242804,245021,247342,250132,253497,257037,260449,263662,266821,269944,273203,276417,279609,282738,285550,288212,290700,293402,296119,298988,301846,304714,307397,309978,312355,314743,317073,319558,322074,324656
20,Canada,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,11559,11787,11716,11680,12022,12267,12860,13090,12630,13245,13777,13621,13644,13798,13626,13892,14577,15055,15747,16343,17093,17334,17977,18562,18849,19867,20679,21896,22332,22291,23198,23558,24015,24943,24988,25235,24200,24776,26145,27219,27211,28658,29836,30579,30226,28799,29585,29435,30489,31522,31534,32622,33128,35222,37446,36884,37037,37953,39211,41139,41678,42449,43642,39214,40618,42197,41615,41816,42833,42844,42969,12634,12901,13180,13469,14011,14331,14786,15183,15636,16050,16445,17010,17462,17872,18267,18635,18986,19343,19711,20071,20448,20820,21143,21448,21750,22026,22285,22560,22875,23209,23518,23796,24036,24277,24593,24900,25202,25456,25702,25942,26204,26550,26895,27379,27791,28148,28487,28815,29126,29431,29740,30039,30297,30541,30823,31150,31489,31783,32082,32388,32716,33037,33390,33774,34154,34499,34896,35303,35700,36027,36437
40,Cuba,3,3,3,3,3,3,0,-3,-6,-9,-9,-9,-9,0,-4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,3502,3728,3653,3615,3841,3878,4142,3803,3803,3841,3991,4255,4255,4378,4360,4468,4332,4309,4598,4495,4637,5082,4703,4569,4335,4604,4738,5076,5254,5436,5513,5698,5990,6092,5979,6438,6534,6852,7356,7455,7392,7117,7272,7268,6864,5696,4777,3668,3637,3810,4251,4401,4310,4492,4882,5061,5133,5201,5170,5248,5923,6054,6336,6476,6697,6928,7138,7379,7628,7889,-10000,5039,5152,5268,5386,5785,5892,6008,6129,6254,6381,6513,6641,6763,6901,7027,7134,7254,7415,7612,7810,7985,8139,8284,8421,8543,8669,8830,9000,9151,9287,9418,9534,9630,9705,9648,9706,9792,9887,9983,10084,10183,10279,10382,10489,10597,10697,10780,10850,10893,10921,10963,11014,11064,11108,11147,11179,11210,11241,11260,11268,11266,11261,11258,11260,11262,11264,11262,11250,11238,11214,11180
41,Haiti,-1,-2,-3,-4,-5,-5,-5,-5,-5,-5,-5,-5,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-10,-10,-10,-10,-10,-10,-9,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-7,-6,7,-7,-7,-7,7,7,7,7,7,2,-2,-2,-2,-2,0,3,5,5,5,5,0,0,0,0,0,0,-10000,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,-10000,2639,2654,2650,2649,2661,2658,2764,2633,2799,2640,2819,2603,2756,2577,2690,2530,2717,2489,2382,2359,2297,2204,2244,2270,2328,2455,2430,2495,2588,2566,2727,2686,2761,2912,3065,2918,2757,2726,2678,2638,2570,2498,2528,2407,2382,2382,2213,2047,1763,1894,1930,1941,1942,1954,1934,1866,1843,1820,1711,1761,1719,1746,1660,1676,1644,1648,1600,1638,1655,1649,1636,2961,2994,3028,3062,3097,3146,3197,3250,3306,3365,3427,3490,3557,3625,3697,3771,3848,3928,4010,4094,4179,4267,4356,4447,4541,4585,4677,4771,4866,4963,5064,5167,5270,5375,5483,5595,5709,5827,5950,6076,6205,6335,6459,6586,6725,6850,6983,7139,7300,7464,7629,7792,7957,8121,8279,8430,8580,8739,8900,9061,9216,9364,9508,9652,9553,9670,9793,9922,10047,10254,10486
42,Dominican Republic,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,8,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,-10000,-10000,-10000,-10000,1663,1808,1844,1764,1835,1837,1900,2003,1925,1933,2035,1980,2151,2074,2120,1946,2027,2119,2067,2240,2408,2616,3169,3450,3408,3535,4035,4046,4034,4167,3969,4303,4304,4443,4786,4805,4911,5163,5267,5360,5007,5093,5477,5886,6084,6117,6214,6683,7237,7560,7534,8137,8116,7617,7791,8614,9438,10182,10224,10783,11524,11679,11936,12101,12657,13382,14088,-10000,-10000,-10000,-10000,2353,2419,2491,2569,2651,2737,2828,2923,3023,3126,3231,3341,3453,3569,3687,3806,3926,4049,4173,4298,4423,4547,4671,4796,4922,5048,5176,5303,5431,5562,5697,5832,5969,6106,6242,6379,6517,6657,6799,6942,7083,7224,7362,7494,7623,7758,7898,8039,8181,8324,8468,8613,8756,8896,9032,9164,9294,9425,9557,9690,9823,9956,10088,10219,10349,10478,10606
51,Jamaica,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2635,2416,-10000,-10000,2120,2256,2403,2702,2982,3234,3497,3970,3960,4108,4178,4282,4334,4466,4536,4760,4987,5071,5219,5564,6213,6130,6302,6701,6255,6131,5660,5310,5138,4657,4128,3988,3884,4031,3987,3515,4024,4434,4606,4614,5003,5137,5226,5205,5306,5290,5311,5100,5188,5288,5342,5256,5327,5925,6048,6232,6659,6997,6813,7146,7143,7141,6972,7096,7096,7115,7175,1298,1327,1350,1374,1385,1406,1426,1446,1468,1489,1510,1535,1566,1599,1632,1648,1665,1698,1739,1777,1820,1861,1893,1920,1944,1967,1998,2036,2071,2105,2133,2157,2179,2207,2229,2258,2298,2307,2313,2319,2323,2327,2330,2338,2348,2359,2379,2408,2437,2470,2502,2532,2561,2590,2617,2642,2666,2690,2714,2738,2761,2783,2805,2827,2848,2869,2890,2911,2931,2951,2971
52,Trinidad and Tobago,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-10000,-10000,-10000,-10000,5080,5440,5544,5596,5646,5918,6680,6802,7065,7240,7773,7956,7714,8582,8648,8463,8710,9135,9750,10406,10628,10158,11696,11855,13130,13077,14366,14381,15692,16665,17614,17899,15972,14175,14461,14081,12122,10628,9762,9015,9392,8389,9606,8421,7952,8213,7943,8173,8342,10058,12674,11702,12411,16095,17943,21837,25330,27979,32994,22910,25687,29745,30351,31166,31032,30892,29358,561,583,600,616,632,649,663,678,698,721,743,765,789,817,841,861,887,904,924,939,953,960,963,963,955,962,975,985,995,1007,1021,1039,1056,1073,1091,1107,1127,1148,1169,1189,1208,1225,1238,1248,1255,1260,1263,1265,1265,1264,1262,1260,1257,1254,1252,1249,1246,1242,1239,1237,1234,1233,1231,1230,1229,1227,1226,1225,1224,1222,1220
70,Mexico,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0,0,0,0,0,4,4,4,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2357,2374,2406,2472,2648,2723,2766,2679,2860,2986,3051,3164,3256,3259,3380,3525,3657,3906,4325,4558,4852,5124,5509,5841,6214,6442,6945,7472,7999,8504,8696,8791,9411,10244,11236,11812,11364,10412,10433,10293,9431,9333,9168,9299,9766,9946,10169,10050,10221,9100,9145,9674,10217,10391,11338,11300,11311,11480,12193,13018,13713,14180,14442,13474,14276,15210,15203,15357,15531,15766,15803,24413,25122,25852,26603,28485,29296,30144,31031,31959,32930,33946,35016,36142,37328,38579,39836,41121,42434,43775,45142,46538,47996,49519,51111,52775,54407,55984,57557,59123,60678,62220,63760,65296,66826,68347,69969,71641,73363,75080,76767,78442,80122,81782,83367,84914,86441,87906,89338,90756,92155,93508,94803,96051,97242,98403,99599,100863,102132,103334,104503,105730,107074,108549,110064,111433,112825,114162,115470,116755,118016,119252
90,Guatemala,5,5,5,5,2,2,2,2,-6,-6,-6,-6,-5,-5,-5,-5,-5,-5,-5,-5,3,3,3,3,1,1,1,1,-3,-3,-3,-3,-5,-5,-5,-5,-7,-7,-6,-1,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2046,2018,2031,2157,2130,2073,2057,2077,2048,1995,2058,2094,2153,2199,2147,2212,2248,2326,2337,2376,2466,2531,2683,2771,2875,2939,3086,3179,3229,3237,3334,3530,3593,3710,3793,3813,3680,3580,3550,3404,3469,3439,3329,3521,3670,3787,3840,3990,4055,4231,4245,4357,4521,4680,4773,4967,5074,5183,5310,5445,5650,5926,6051,6132,6323,6650,6643,6689,6900,7055,7137,2500,2570,2640,2720,2969,3066,3166,3269,3376,3487,3602,3720,3843,3970,4100,4232,4367,4506,4650,4746,4843,4942,5045,5151,5264,5385,5510,5639,5773,5910,6051,6197,6346,6496,6650,6829,6983,7189,7380,7581,7820,8160,8496,8731,8966,9214,9368,9523,9780,10028,10268,10497,10709,10904,11086,11285,11507,11726,11941,12183,12455,12729,13003,13277,13551,13825,14100,14374,14648,14920,15191
91,Honduras,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,4,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1793,1865,1862,1834,1838,1876,1977,2097,2039,2014,1993,2032,1986,1905,1972,2021,2114,2182,2248,2272,2318,2380,2443,2369,2390,2350,2406,2486,2659,2642,2921,3167,3270,3238,3168,3104,3039,2923,2965,2914,3015,3053,3180,3179,3294,3378,3357,3532,3522,3811,3539,3565,3581,3432,3545,3515,3613,3716,3855,4123,4188,4381,4070,4048,4189,4421,4418,4213,4272,4352,4435,1290,1320,1350,1390,1431,1474,1517,1562,1611,1662,1715,1770,1829,1889,1952,2019,2090,2166,2246,2329,2414,2501,2591,2685,2761,2856,2965,3078,2765,2858,2955,3056,3168,3279,3402,3543,3670,3796,3933,4077,4227,4373,4515,4656,4794,4933,5080,5233,5390,5551,5713,5875,6039,6191,6359,6527,6694,6862,7029,7193,7355,7516,7676,7834,7989,8144,8297,8448,8599,8747,8893
